Grupo Indicador;Indicador;Serie;Regiao;Base;Unidade;Periodicidade;Status;Ano;Trimestre;Mês;Data;Valor
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2003;1;Mar;37681;44,2
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2003;2;Abr;37712;44,9
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2003;2;Mai;37742;46,9
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2003;2;Jun;37773;44
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2003;3;Jul;37803;46,5
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2003;3;Ago;37834;47,3
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2003;3;Set;37865;45,1
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2003;4;Out;37895;48,8
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2003;4;Nov;37926;49
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2003;4;Dez;37956;66
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2004;1;Jan;37987;47
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2004;1;Fev;38018;45
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2004;1;Mar;38047;49,1
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2004;2;Abr;38078;49,5
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2004;2;Mai;38108;51,9
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2004;2;Jun;38139;49,7
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2004;3;Jul;38169;52,1
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2004;3;Ago;38200;50,5
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2004;3;Set;38231;49,2
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2004;4;Out;38261;52,9
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2004;4;Nov;38292;52
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2004;4;Dez;38322;73,5
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2005;1;Jan;38353;49,9
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2005;1;Fev;38384;45,9
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2005;1;Mar;38412;52,9
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2005;2;Abr;38443;51,1
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2005;2;Mai;38473;53,3
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2005;2;Jun;38504;52,3
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2005;3;Jul;38534;54,4
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2005;3;Ago;38565;54
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2005;3;Set;38596;51,9
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2005;4;Out;38626;54,9
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2005;4;Nov;38657;54,6
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2005;4;Dez;38687;77,2
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2006;1;Jan;38718;53,2
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2006;1;Fev;38749;48,8
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2006;1;Mar;38777;54,4
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2006;2;Abr;38808;54,9
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2006;2;Mai;38838;57,3
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2006;2;Jun;38869;54,3
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2006;3;Jul;38899;55,6
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2006;3;Ago;38930;57,4
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2006;3;Set;38961;57,1
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2006;4;Out;38991;58,7
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2006;4;Nov;39022;59,5
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2006;4;Dez;39052;81,6
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2007;1;Jan;39083;57,7
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2007;1;Fev;39114;53,2
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2007;1;Mar;39142;60,7
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2007;2;Abr;39173;59,2
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2007;2;Mai;39203;63,3
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2007;2;Jun;39234;60,6
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2007;3;Jul;39264;60,8
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2007;3;Ago;39295;63,3
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2007;3;Set;39326;61,8
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2007;4;Out;39356;64,3
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2007;4;Nov;39387;65,7
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2007;4;Dez;39417;89,3
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2008;1;Jan;39448;64,5
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2008;1;Fev;39479;60
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2008;1;Mar;39508;67,5
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2008;2;Abr;39539;64,3
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2008;2;Mai;39569;70,3
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2008;2;Jun;39600;65,5
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2008;3;Jul;39630;67,7
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2008;3;Ago;39661;69,6
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2008;3;Set;39692;67,6
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2008;4;Out;39722;70,7
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2008;4;Nov;39753;69
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2008;4;Dez;39783;92,7
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2009;1;Jan;39814;68,3
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2009;1;Fev;39845;62,3
