"t","Y","Yn.lin.trend","Yn.hp","Yn.prod.fn","Yn.areosa"
2001-03-01,312469.819931944,350075.430173274,314080.595179061,312458.170287728,350075.430173274
2001-06-01,323723.55976888,359019.395853079,324245.509851239,323904.201919627,323745.26152775
2001-09-01,332524.445736432,368191.868063729,334738.326442837,333112.290030323,332550.637608774
2001-12-01,347037.642393674,377495.155865168,345568.129097052,346063.061270574,347041.415954611
2002-03-01,342296.667234209,386927.398688874,356742.671545235,348519.394017804,342345.668190624
2002-06-01,367362.824618352,396812.883576341,368270.63776165,362618.421257793,367373.409194202
2002-09-01,379794.531635396,406950.929569046,380150.949926694,376376.254422773,379824.786599522
2002-12-01,399333.231670411,417233.561933399,392380.707789705,392958.370758248,399337.962218661
2003-03-01,397241.638848818,427658.72424134,404955.372843218,402682.41505497,397288.852247546
2003-06-01,418987.336935928,438584.840793971,417873.449301199,416941.668932065,419011.820554051
2003-09-01,439349.781582791,449790.105218852,431127.18047126,433755.599144144,439379.300289872
2003-12-01,462371.639056953,461155.176427774,444707.737463587,453204.052494394,462362.169046538
2004-03-01,444783.488160836,472807.414566527,458609.867181259,461036.587512454,444861.48508897
2004-06-01,481794.960503725,484887.020630138,472838.546473112,477744.824895392,481811.110748039
2004-09-01,505252.3183942,497275.244702173,487389.487301765,496932.613627226,505280.997155515
2004-12-01,525920.445903801,509840.14664399,502263.21682037,517309.890600041,525908.99824608
2005-03-01,499710.362620398,522579.213595455,517471.481762977,523772.517478272,499798.781819931
2005-06-01,535557.41785494,535930.423502035,533042.317272797,538726.424839671,535572.820557969
2005-09-01,552859.155156813,549622.739218664,548994.619134151,554936.415010355,552904.978689188
2005-12-01,582457.567827848,563510.331446207,565350.535178732,575397.764968909,582439.120446434
2006-03-01,554270.465634429,577590.422799131,582136.647028772,581339.050629683,554357.083738327
2006-06-01,581976.856291441,592347.09657068,599393.003560592,593034.172534969,582020.113626985
2006-09-01,617847.705984914,607480.783900981,617144.502568585,611736.218488096,617886.613036192
2006-12-01,655354.894079216,622830.304237199,635406.117968345,636854.92782217,655337.58741651
2007-03-01,631423.004968652,638392.587822175,654193.803714919,648518.256225463,631521.125188476
2007-06-01,670654.703228525,654702.676744724,673537.116086967,667843.53286352,670679.217738424
2007-09-01,691845.92375563,671429.466935014,693452.40961375,688218.042926903,691901.463256183
2007-12-01,726339.305847193,688394.810580739,713954.60180228,713254.907809236,726338.992932571
2008-03-01,712055.248921701,705788.826036673,735057.808695886,727333.203858015,712165.920566379
2008-06-01,769525.15981347,723820.79998623,756784.416282542,754083.243305836,769557.596339348
2008-09-01,812602.576158029,742313.467095728,779142.412743064,786847.704689619,812615.630528527
2008-12-01,815620.1041668,761069.872172225,802147.468626947,814383.329047576,815611.352467591
2009-03-01,756127.092539166,780086.264114218,825837.184475329,816330.380639,756272.43194012
2009-06-01,803577.495474551,800016.439648314,850260.79599824,829747.784232782,803627.900567907
2009-09-01,852843.247414922,820455.804890131,875423.304927732,852924.499631549,852911.124600057
