"t","Yn"
11323,113.715574525313
11413,113.457110389109
11504,113.526551100185
11596,113.609325886665
11688,115.022602349094
11778,116.161134947388
11869,117.199702154182
11961,118.343232109011
12053,118.49569347045
12143,118.572944615685
12234,119.364421058487
12326,120.42779074742
12418,122.074559028322
12509,123.817755302818
12600,125.123713122597
12692,126.297715428216
12784,127.156809894376
12874,128.943784808767
12965,128.983033389613
13057,130.427239041113
13149,131.850524893296
13239,132.816846325549
13330,134.402332911312
13422,135.878860948813
13514,137.618660478487
13604,139.547019386615
13695,141.001838308398
13787,142.75977970663
13879,144.683240259503
13970,146.829086017275
14061,148.610522077809
14153,146.795747945134
14245,146.438516876785
14335,148.008275759793
14426,150.14408761422
14518,152.468010885833
14610,154.676416124427
14700,156.420569434861
14791,158.025286027386
14883,159.685232669701
14975,161.466995103455
15065,163.054930454128
15156,163.853186525613
15248,164.95618937747
15340,165.239111487934
15431,166.362494040899
15522,168.368053722043
15614,168.761898425519
15706,169.341622831193
15796,171.443998167263
15887,172.268693922948
15979,172.627743266171
16071,173.547539932104
16161,172.766220270305
16252,173.086324067888
16344,173.555463087034
16436,173.007072809462
16526,171.256031949624
16617,170.005049546841
16709,169.128308063624
16801,168.280427445676
16892,168.010261983758
16983,167.292183561342
17075,166.979637450116
17167,167.681214638109
17257,168.027093963284
17348,168.580352950461
17440,168.753821725727
17532,168.98588699481
17622,169.239326665861
